0000000000004;052099999999999999
0000000000006;033001050505050505
0000000000007;051507010101010101
0000000000010;031061999999999999
0000000000011;023035043703330101
0000000000017;033002050505050505
0000000000018;033001059898989898
0000000000020;052013019898989898
0000000000025;033001050505050505
0000000000108;023035045701030101
0000000000127;023034720703050102
0000000000146;023034369898989898
0000000000147;023034369898989898
0000000000176;023034721501090102
0000000000181;023034721501490102
0000000000184;023034361301040102
0000000000193;023034721501250102
0000000000205;020519107055400505
0000000000210;020519055025050505
0000000000217;020520306005050505
0000000000220;020520051005550505
0000000000223;020520309090909090
0000000000225;020520059898989898
0000000000232;020518200515050505
0000000000236;020520309090909090
0000000000240;020520309090909090
0000000000244;020520306005050505
0000000000251;020520309090909090
0000000000255;020520307070707005
0000000000268;020520999999999999
0000000000272;020520052005010101
0000000000274;020520051520051505
0000000000275;020520051520051505
0000000000280;020520306005050505
0000000000281;020520306005050505
0000000000285;020520306005050505
0000000000331;020520158005300505
0000000000332;020520158005300505
0000000000333;020520158005300505
0000000000334;020520051505400505
0000000000335;020520051520100505
0000000000336;020520055005050505
0000000000340;020518051015060505
0000000000343;020520051520051505
0000000000344;020519054605050505
0000000000348;020520053505550505
0000000000349;020520053510200505
0000000000353;067015050505050505
0000000000384;020520052010650101
0000000000385;020520052010650101
0000000000386;020520052010650101
0000000000387;020520052010750505
0000000000390;020520101005150505
0000000000408;020519053205050505
0000000000428;020519106505100505
0000000000491;020519051005050505
0000000000496;020518051005200505
0000000000500;020518050520050505
0000000000550;020520200570100505
0000000000551;020520200548100505
0000000000599;081015010101010101
0000000000600;081015010101010101
0000000000610;020520054520050505
0000000000641;020520251005050505
0000000000646;020520999999999999
0000000000647;020520999999999999
0000000000648;020520999999999999
0000000000800;024544801510050505
0000000000801;024544801510050505
0000000000802;024544801510050505
0000000000803;024544801510050505
0000000000804;024544801510050505
0000000000805;024544801510050505
0000000000806;024544801510050505
0000000000807;024544801510050505
0000000000900;067005999999999999
0000000000901;067005999999999999
0000000000905;067005999999999999
0000000000920;067005999999999999
0000000000930;067005999999999999
0000000000999;053599999999999999
0000000001000;067005999999999999
0000000001070;071405010101010101
0000000001072;071405010101010101
0000000001073;071405010101010101
0000000001074;071405010101010101
0000000001075;071405010101010101
0000000001100;072005010101010101
0000000001701;052599999999999999
0000000001802;043096209898989898
0000000002500;023035044901010101
0000000003000;030555240505100505
0000000003001;030555240505100505
0000000003002;030555240505100505
0000000003003;030555240505100505
0000000003004;030555240505100505
0000000003005;030555240505100505
0000000003292;031570050550050505
0000000005000;026553999999999999
0000000005030;020518051003050505
0000000005031;020518051003050505
0000000005198;020519107070050505
0000000007899;052519010101010101
0000000090878;023537999999999999
0000000900020;081099999999999999
0000000900031;080515010101010101
0000000900032;081010010101010101
0000000900034;080515010101010101
0000000900037;081010010101010101
0000000900038;081010010101010101
0000000900039;081099999999999999
0000000900040;081010010101010101
0000000900043;080505010101010101
0000000900048;081005010101010101
0000000900050;080515010101010101
0000000900053;081005010101010101
0000000900059;081010010101010101
0000000900062;081010010101010101
0000000900063;081010010101010101
0000000900066;081010010101010101
0000000900071;081015010101010101
0000000900072;081010010101010101
0000000900073;081010010101010101
0000000900074;081010010101010101
0000000900078;081010010101010101
0000000900079;081010010101010101
0000000900100;081099999999999999
0000000900102;081015010101010101
0000000900103;081015010101010101
0000000900114;080510010101010101
0000000900120;080510010101010101
0000000900124;080515010101010101
0000000900128;080515010101010101
0000000900135;080515010101010101
0000000900136;080510010101010101
0000000900137;080510010101010101
0000000900142;080510010101010101
0000000900143;080510010101010101
0000000900144;080510010101010101
0000000900145;080505010101010101
0000000900146;080505010101010101
0000000900148;081015010101010101
0000000900149;081010010101010101
0000000900150;080505010101010101
0000000900151;080505010101010101
0000000900152;081015010101010101
0000000900154;081015010101010101
0000000900155;081015010101010101
0000000900156;081010010101010101
0000000900168;080510010101010101
0000000900195;080505010101010101
0000000900196;080505010101010101
0000000900201;081010010101010101
0000000900214;080510010101010101
0000000900218;081099999999999999
0000000900219;081099999999999999
0000000900221;081010010101010101
0000000900230;081015010101010101
0000000900236;081010010101010101
0000000900237;081010010101010101
0000000900238;081010010101010101
0000000900239;081010010101010101
0000030000445;022528200510100505
0000040045092;010502102010101010
0000041015445;021023051005151505
0000041015452;021023051005152505
0000041024355;011010200520350515
0000042305880;010502102005102020
0000057306780;021023101030050505
0000057306797;021023101030050505
0008421100019;031568052026262626
0008421100026;031568053005050505
0008421100040;031568053005050505
0008421100057;031568053005050505
0008421340132;031568053005250505
0008421340149;031568053005050505
0008421340170;031568053005250505
0008421352104;031568053005050505
0008421352111;031568053005050505
0008421352487;031568053005050505
0008421352586;031568053005050505
0008421360062;031568053005050505
0008421362257;031568053005050505
0008421362509;031568053005050505
0008421363056;031568053005250505
0008421363216;031568053005050505
0008421363896;031568053005050505
0008421363902;031568053005050505
0008421363933;031568053005250505
0008421363940;031568053005050505
0008421363957;031568053005050505
0008421364749;031568053005050505
0008421365715;031568053005050505
0008421366910;031568053005050505
0008421368792;031568053005050505
0008421370863;031568053005050505
0008421371907;031568053005050505
0008421372010;031568053005050505
0008421372669;031568053005250505
0008421373185;031568053005250505
0008421373222;031568053005050505
0008421373451;031568053005050505
0008421373468;031568053005250505
0008421373598;031568053005050505
0008421373611;031568053005050505
0008421373628;031568053005050505
0008421392230;031568053005050505
0008421392421;031568053005250505
0008421392643;031568053005250505
0008421392681;031568053005250505
0008421392698;031568053005250505
0008421392773;031568053005250505
0008421392780;031568053005050505
0008421392841;031568053005250505
0008421392858;031568053005250505
0008421393947;031568053005050505
0008421394135;031568053005250505
0008421394142;031568053005250505
0008421394159;031568053005250505
0008421405404;031568053005050505
0008421405428;031568053005050505
0008421405442;031568053005050505
0008421406999;031568053005050505
0008421410552;031568053005050505
0008421410576;031568053005050505
0008421410958;031568053005050505
0008421411504;031568053005250505
0008421412716;031568053005250505
0008421412822;031568053005050505
0008421412914;031568053005050505
0008421415007;031568053005050505
0008421415014;031568053005050505
0008421415045;031568053005050505
0008421415052;031568053005050505
0008421440030;031568053005250505
0008421440047;031568053005250505
0008421440061;031568053005250505
0008421440078;031568053005250505
0008421440108;031568053005250505
0008421440146;031568053005250505
0008421440153;031568053005250505
0008421440177;031568053005250505
0008421440184;031568053005250505
0008421440191;031568053005250505
0008421440207;031568053005250505
0008421440238;031568053005250505
0008421440269;031568053005250505
0008421440313;031568053005250505
0008421461288;031568053005250505
0008421461295;031568053005250505
0008421461301;031568053005250505
0008421462711;031568053005250505
0008421830152;031568053005250505
0008421830169;031568053005250505
0008421830268;031568053005250505
0008421830275;031568053005250505
